object_id,asset_name,asset_type
11746,S11746,"SNOW SALT SPREADER"
11747,S11747,"SNOW SALT SPREADER"
11748,S11748,"SNOW SALT SPREADER"
11749,S11749,"SNOW SALT SPREADER"
11750,S11750,"SNOW SALT SPREADER"
11751,S11751,"SNOW SALT SPREADER"
11752,S11752,"SNOW SALT SPREADER"
11753,S11753,"SNOW SALT SPREADER"
11754,S11754,"SNOW SALT SPREADER"
11755,S11755,"SNOW SALT SPREADER"
11756,S11756,"SNOW SALT SPREADER"
11757,S11757,"SNOW SALT SPREADER"
11758,S11758,"SNOW SALT SPREADER"
11855,S11855,"SNOW SALT SPREADER"
11856,S11856,"SNOW SALT SPREADER"
11859,S11859,"SNOW SALT SPREADER"
11861,S11861,"SNOW SALT SPREADER"
11862,S11862,"SNOW SALT SPREADER"
11863,S11863,"SNOW SALT SPREADER"
11864,S11864,"SNOW SALT SPREADER"
11867,S11867,"SNOW SALT SPREADER"
11868,S11868,"SNOW SALT SPREADER"
11869,S11869,"SNOW SALT SPREADER"
11874,S11874,"SNOW SALT SPREADER"
11875,S11875,"SNOW SALT SPREADER"
11877,S11877,"SNOW SALT SPREADER"
11878,S11878,"SNOW SALT SPREADER"
11880,S11880,"SNOW SALT SPREADER"
11881,S11881,"SNOW SALT SPREADER"
11882,S11882,"SNOW SALT SPREADER"
11883,S11883,"SNOW SALT SPREADER"
11885,S11885,"SNOW SALT SPREADER"
11886,S11886,"SNOW SALT SPREADER"
11887,S11887,"SNOW SALT SPREADER"
11888,S11888,"SNOW SALT SPREADER"
11889,S11889,"SNOW SALT SPREADER"
11890,S11890,"SNOW SALT SPREADER"
11891,S11891,"SNOW SALT SPREADER"
11892,S11892,"SNOW SALT SPREADER"
11893,S11893,"SNOW SALT SPREADER"
11894,S11894,"SNOW SALT SPREADER"
11895,S11895,"SNOW SALT SPREADER"
11896,S11896,"SNOW SALT SPREADER"
11897,S11897,"SNOW SALT SPREADER"
11898,S11898,"SNOW SALT SPREADER"
11900,S11900,"SNOW SALT SPREADER"
11902,S11902,"SNOW SALT SPREADER"
11903,S11903,"SNOW SALT SPREADER"
11904,S11904,"SNOW SALT SPREADER"
11905,S11905,"SNOW SALT SPREADER"
11906,S11906,"SNOW SALT SPREADER"
11907,S11907,"SNOW SALT SPREADER"
11909,S11909,"SNOW SALT SPREADER"
11910,S11910,"SNOW SALT SPREADER"
11911,S11911,"SNOW SALT SPREADER"
11912,S11912,"SNOW SALT SPREADER"
11914,S11914,"SNOW SALT SPREADER"
11915,S11915,"SNOW SALT SPREADER"
11916,S11916,"SNOW SALT SPREADER"
11917,S11917,"SNOW SALT SPREADER"
11918,S11918,"SNOW SALT SPREADER"
11919,S11919,"SNOW SALT SPREADER"
11920,S11920,"SNOW SALT SPREADER"
11921,S11921,"SNOW SALT SPREADER"
11922,S11922,"SNOW SALT SPREADER"
11923,S11923,"SNOW SALT SPREADER"
11924,S11924,"SNOW SALT SPREADER"
11925,S11925,"SNOW SALT SPREADER"
